product_id,product_name,category,subcategory,cost_price
P129,Lenovo Speaker,Electronics,Speaker,18207
P130,HP Mouse,Electronics,Mouse,18112
P131,Oxford Journal,Books,Journal,29615
P132,Samsung Speaker,Electronics,Speaker,47115
P133,HP Webcam,Electronics,Webcam,3094
P134,Samsung Webcam,Electronics,Webcam,7932
P135,Prestige Fan,Home,Fan,11052
P136,Adidas Saree,Clothing,Saree,26293
P137,IKEA Table,Home,Table,30006
P138,IKEA Pillow,Home,Pillow,6079
P139,Prestige Table,Home,Table,27044
P140,Dell Speaker,Electronics,Speaker,31438
P141,IKEA Sofa,Home,Sofa,31766
P142,Home Centre Mattress,Home,Mattress,30178
P143,Lenovo Speaker,Electronics,Speaker,19093
P144,Dell Headphones,Electronics,Headphones,7565
P145,Oxford Journal,Books,Journal,27092
P146,Penguin Comic,Books,Comic,7063
P147,Dell Headphones,Electronics,Headphones,7126
P148,Lenovo Mouse,Electronics,Mouse,26224
P149,IKEA Mattress,Home,Mattress,34394
P150,Levi's Jeans,Clothing,Jeans,24589
P151,Nike Saree,Clothing,Saree,28151
P152,McGraw Hill Story Book,Books,Story Book,10036
P153,Penguin Journal,Books,Journal,8103
P154,Lenovo Mobile,Electronics,Mobile,25223
P155,McGraw Hill Novel,Books,Novel,8663
P156,Adidas T-shirt,Clothing,T-shirt,45217
P157,Sony Keyboard,Electronics,Keyboard,4573
P158,Levi's Saree,Clothing,Saree,34373
P159,Penguin Notebook,Books,Notebook,5849
P160,McGraw Hill Dictionary,Books,Dictionary,7897
P161,Home Centre Table,Home,Table,29191
P162,Dell Mobile,Electronics,Mobile,4732
P163,Adidas Saree,Clothing,Saree,1501
P164,Home Centre Mattress,Home,Mattress,37388
P165,Sony Speaker,Electronics,Speaker,31644
P166,Nike Shirt,Clothing,Shirt,31933
P167,Prestige Mattress,Home,Mattress,44802
P168,Dell Keyboard,Electronics,Keyboard,934
P169,Sony Laptop,Electronics,Laptop,15605
P170,Dell Laptop,Electronics,Laptop,33872
P171,Prestige Mattress,Home,Mattress,26043
P172,Prestige Chair,Home,Chair,23991
P173,Penguin Novel,Books,Novel,19935
P174,Home Centre Table,Home,Table,366
P175,Oxford Story Book,Books,Story Book,3858
P176,Prestige Table,Home,Table,12392
P177,Penguin Notebook,Books,Notebook,37411
P178,Puma T-shirt,Clothing,T-shirt,43355
P179,Puma T-shirt,Clothing,T-shirt,47212
P180,Adidas T-shirt,Clothing,T-shirt,39655
P181,Home Centre Mattress,Home,Mattress,12028
P182,Prestige Pillow,Home,Pillow,1736
P183,McGraw Hill Novel,Books,Novel,41198
P184,Sony Speaker,Electronics,Speaker,11220
P185,Samsung Keyboard,Electronics,Keyboard,40319
P186,Samsung Mobile,Electronics,Mobile,10734
P187,Dell Mobile,Electronics,Mobile,44868
P188,Puma Jeans,Clothing,Jeans,1147
P189,HP Printer,Electronics,Printer,11274
P190,Adidas Kurta,Clothing,Kurta,47309
P191,HP Laptop,Electronics,Laptop,2981
P192,Penguin Journal,Books,Journal,7867
P193,Lenovo Webcam,Electronics,Webcam,8943
P194,IKEA Fan,Home,Fan,16460
P195,IKEA Fan,Home,Fan,44212
P196,Sony Keyboard,Electronics,Keyboard,24385
P197,Penguin Comic,Books,Comic,37948
P198,Home Centre Sofa,Home,Sofa,3748
P199,Sony Headphones,Electronics,Headphones,39659
P200,Home Centre Table,Home,Table,41881
P201,Penguin Journal,Books,Journal,37710
P202,Penguin Novel,Books,Novel,26037
P203,McGraw Hill Textbook,Books,Textbook,32652
P204,Sony Headphones,Electronics,Headphones,33817
P205,Sony Mobile,Electronics,Mobile,35953
P206,Penguin Novel,Books,Novel,5971
P207,IKEA Pillow,Home,Pillow,42995
P208,Lenovo Webcam,Electronics,Webcam,24236
P209,Oxford Comic,Books,Comic,40730
P210,Penguin Novel,Books,Novel,4500
P211,IKEA Sofa,Home,Sofa,10781
P212,Levi's T-shirt,Clothing,T-shirt,11287
P213,Prestige Pillow,Home,Pillow,9942
P214,Dell Laptop,Electronics,Laptop,49739
P215,Home Centre Mattress,Home,Mattress,1011
P216,IKEA Mattress,Home,Mattress,39212
P217,Puma Shorts,Clothing,Shorts,14722
P218,Adidas Shorts,Clothing,Shorts,48474
P219,Nike Jeans,Clothing,Jeans,1470
P220,IKEA Sofa,Home,Sofa,35287
P221,Dell Speaker,Electronics,Speaker,2409
P222,Adidas T-shirt,Clothing,T-shirt,40631
P223,Levi's T-shirt,Clothing,T-shirt,32175
P224,Prestige Table,Home,Table,28827
P225,IKEA Fan,Home,Fan,17668
P226,Sony Printer,Electronics,Printer,20670
P227,Home Centre Chair,Home,Chair,29921
P228,Puma Shirt,Clothing,Shirt,13208
P229,HP Headphones,Electronics,Headphones,3740
P230,Adidas Jeans,Clothing,Jeans,22800
P231,Dell Webcam,Electronics,Webcam,3522
P232,Adidas Kurta,Clothing,Kurta,6388
P233,Oxford Textbook,Books,Textbook,29330
P234,Puma Shirt,Clothing,Shirt,15085
P235,Sony Speaker,Electronics,Speaker,47538
P236,Samsung Speaker,Electronics,Speaker,178
P237,McGraw Hill Journal,Books,Journal,29783
P238,Prestige Chair,Home,Chair,32060
P239,Sony Keyboard,Electronics,Keyboard,24962
P240,McGraw Hill Dictionary,Books,Dictionary,45766
P241,McGraw Hill Dictionary,Books,Dictionary,33732
P242,Penguin Notebook,Books,Notebook,10642
P243,Oxford Novel,Books,Novel,7389
P244,Oxford Dictionary,Books,Dictionary,32260
P245,Prestige Table,Home,Table,42330
P246,Penguin Textbook,Books,Textbook,37287
P247,Sony Printer,Electronics,Printer,2887
P248,Nike Kurta,Clothing,Kurta,9324
P249,Adidas T-shirt,Clothing,T-shirt,22827
P250,Nike Kurta,Clothing,Kurta,46088
P251,HP Mouse,Electronics,Mouse,21934
P252,Oxford Story Book,Books,Story Book,5661
P253,Lenovo Mobile,Electronics,Mobile,33215
P254,Adidas Saree,Clothing,Saree,6832
P255,Lenovo Mobile,Electronics,Mobile,38891
P256,Prestige Sofa,Home,Sofa,46931
P257,Adidas Kurta,Clothing,Kurta,10993
P258,Adidas Jeans,Clothing,Jeans,46422
P259,Sony Mouse,Electronics,Mouse,45980
P260,Sony Mouse,Electronics,Mouse,17390
P261,Oxford Notebook,Books,Notebook,9834
P262,HP Speaker,Electronics,Speaker,27760
P263,Puma Shorts,Clothing,Shorts,45453
P264,McGraw Hill Textbook,Books,Textbook,17094
P265,Home Centre Pillow,Home,Pillow,44745
P266,Home Centre Mattress,Home,Mattress,19241
P267,Adidas Jeans,Clothing,Jeans,8825
P268,Levi's Kurta,Clothing,Kurta,31733
P269,McGraw Hill Novel,Books,Novel,32630
P270,Penguin Novel,Books,Novel,9588
P271,Home Centre Fan,Home,Fan,42128
P272,Adidas Saree,Clothing,Saree,43587
P273,Penguin Story Book,Books,Story Book,39179
P274,Home Centre Chair,Home,Chair,29406
P275,Lenovo Webcam,Electronics,Webcam,29492
P276,Puma T-shirt,Clothing,T-shirt,9424
P277,IKEA Mattress,Home,Mattress,25892
P278,Nike Saree,Clothing,Saree,45195
P279,Home Centre Mattress,Home,Mattress,24714
P280,Prestige Mattress,Home,Mattress,1506
P281,Prestige Pillow,Home,Pillow,13253
P282,Puma Shirt,Clothing,Shirt,26335
P283,Penguin Notebook,Books,Notebook,35231
P284,Levi's T-shirt,Clothing,T-shirt,12343
P285,McGraw Hill Comic,Books,Comic,35848
P286,IKEA Fan,Home,Fan,34676
P287,Oxford Comic,Books,Comic,36880
P288,Oxford Textbook,Books,Textbook,25550
P289,Nike Kurta,Clothing,Kurta,23935
P290,IKEA Chair,Home,Chair,43191
P291,Lenovo Mobile,Electronics,Mobile,13969
P292,Oxford Dictionary,Books,Dictionary,43601
P293,Adidas T-shirt,Clothing,T-shirt,27371
P294,Samsung Printer,Electronics,Printer,9328
P295,Penguin Dictionary,Books,Dictionary,35128
P296,Prestige Fan,Home,Fan,11259
P297,Adidas Jeans,Clothing,Jeans,33316
P298,HP Speaker,Electronics,Speaker,20168
P299,Dell Speaker,Electronics,Speaker,20339
P300,Oxford Story Book,Books,Story Book,46230
P301,Nike T-shirt,Clothing,T-shirt,46682
P302,IKEA Pillow,Home,Pillow,8156
P303,Dell Laptop,Electronics,Laptop,19409
P304,Puma Shirt,Clothing,Shirt,10633
P305,Nike Saree,Clothing,Saree,43990
P306,Samsung Speaker,Electronics,Speaker,15301
P307,Prestige Fan,Home,Fan,38372
P308,Lenovo Mobile,Electronics,Mobile,31238
P309,Samsung Printer,Electronics,Printer,49012
P310,Puma Shirt,Clothing,Shirt,33667
P311,IKEA Pillow,Home,Pillow,33681
P312,Oxford Novel,Books,Novel,24518
P313,Adidas T-shirt,Clothing,T-shirt,4238
P314,Prestige Mattress,Home,Mattress,23814
P315,Nike Shirt,Clothing,Shirt,11113
P316,Adidas Shorts,Clothing,Shorts,23742
P317,IKEA Chair,Home,Chair,17933
P318,Penguin Notebook,Books,Notebook,47845
P319,Dell Mobile,Electronics,Mobile,4196
P320,Prestige Pillow,Home,Pillow,32489
P321,Home Centre Sofa,Home,Sofa,27314
P322,Nike T-shirt,Clothing,T-shirt,45291
P323,Puma T-shirt,Clothing,T-shirt,37770
P324,Oxford Notebook,Books,Notebook,37349
P325,Sony Webcam,Electronics,Webcam,7935
P326,Oxford Textbook,Books,Textbook,41371
P327,Dell Speaker,Electronics,Speaker,48467
P328,McGraw Hill Comic,Books,Comic,14242
P329,IKEA Fan,Home,Fan,20275
P330,Samsung Printer,Electronics,Printer,16560
P331,McGraw Hill Notebook,Books,Notebook,35686
P332,Home Centre Chair,Home,Chair,22334
P333,Penguin Novel,Books,Novel,5142
P334,HP Keyboard,Electronics,Keyboard,2297
P335,IKEA Table,Home,Table,33715
P336,Prestige Sofa,Home,Sofa,1825
P337,Adidas Saree,Clothing,Saree,8607
P338,Samsung Speaker,Electronics,Speaker,25141
P339,McGraw Hill Dictionary,Books,Dictionary,19985
P340,Sony Mobile,Electronics,Mobile,32011
P341,Home Centre Mattress,Home,Mattress,39783
P342,Oxford Story Book,Books,Story Book,23040
P343,Home Centre Pillow,Home,Pillow,13044
P344,IKEA Chair,Home,Chair,5050
P345,Puma Shorts,Clothing,Shorts,9222
P346,Oxford Novel,Books,Novel,23121
P347,McGraw Hill Story Book,Books,Story Book,6673
P348,Lenovo Mouse,Electronics,Mouse,31552
P349,Samsung Printer,Electronics,Printer,41386
P350,Lenovo Speaker,Electronics,Speaker,34682
P351,Adidas Shirt,Clothing,Shirt,8319
P352,Samsung Mobile,Electronics,Mobile,12610
P353,Levi's Shirt,Clothing,Shirt,26738
P354,Puma T-shirt,Clothing,T-shirt,21991
P355,Home Centre Table,Home,Table,28386
P356,Prestige Mattress,Home,Mattress,44197
P357,Penguin Textbook,Books,Textbook,32967
P358,Adidas Jeans,Clothing,Jeans,12040
P359,Prestige Chair,Home,Chair,19013
P360,HP Mouse,Electronics,Mouse,7812
P361,Home Centre Table,Home,Table,25118
P362,Puma Kurta,Clothing,Kurta,17031
P363,Nike Shirt,Clothing,Shirt,14777
P364,McGraw Hill Notebook,Books,Notebook,42865
P365,Oxford Dictionary,Books,Dictionary,43651
P366,IKEA Chair,Home,Chair,32185
P367,Puma Shirt,Clothing,Shirt,10413
P368,Oxford Textbook,Books,Textbook,38263
P369,Dell Keyboard,Electronics,Keyboard,8003
P370,Oxford Comic,Books,Comic,44529
P371,Prestige Sofa,Home,Sofa,36420
P372,Sony Keyboard,Electronics,Keyboard,24110
P373,Levi's Kurta,Clothing,Kurta,36073
P374,Home Centre Sofa,Home,Sofa,34847
P375,Prestige Table,Home,Table,43348
P376,IKEA Chair,Home,Chair,44486
P377,McGraw Hill Story Book,Books,Story Book,6848
P378,McGraw Hill Comic,Books,Comic,6116
P379,Samsung Speaker,Electronics,Speaker,16669
P380,Penguin Story Book,Books,Story Book,18007
P381,McGraw Hill Novel,Books,Novel,33807
P382,IKEA Mattress,Home,Mattress,5522
P383,Samsung Printer,Electronics,Printer,6990
P384,Levi's Shirt,Clothing,Shirt,9970
P385,IKEA Mattress,Home,Mattress,36792
P386,Sony Keyboard,Electronics,Keyboard,2079
P387,Dell Keyboard,Electronics,Keyboard,41818
P388,Levi's Shirt,Clothing,Shirt,22395
P389,Sony Keyboard,Electronics,Keyboard,21473
P390,Oxford Story Book,Books,Story Book,39355
P391,Prestige Fan,Home,Fan,37828
P392,Nike T-shirt,Clothing,T-shirt,25452
P393,Penguin Comic,Books,Comic,47104
P394,Prestige Fan,Home,Fan,19475
P395,Lenovo Laptop,Electronics,Laptop,37045
P396,Samsung Keyboard,Electronics,Keyboard,30706
P397,Oxford Story Book,Books,Story Book,12253
P398,IKEA Chair,Home,Chair,48564
P399,HP Speaker,Electronics,Speaker,4939
P400,Dell Mobile,Electronics,Mobile,18412
P401,Oxford Novel,Books,Novel,3129
P402,Nike T-shirt,Clothing,T-shirt,45126
P403,Lenovo Keyboard,Electronics,Keyboard,19121
P404,Lenovo Laptop,Electronics,Laptop,45166
P405,Prestige Sofa,Home,Sofa,34045
P406,Levi's Saree,Clothing,Saree,11356
P407,Samsung Laptop,Electronics,Laptop,33549
P408,Sony Mouse,Electronics,Mouse,47937
P409,Levi's Saree,Clothing,Saree,552
P410,Oxford Textbook,Books,Textbook,49017
P411,Oxford Dictionary,Books,Dictionary,8081
P412,Penguin Notebook,Books,Notebook,2002
P413,Home Centre Table,Home,Table,42362
P414,IKEA Mattress,Home,Mattress,31489
P415,Prestige Table,Home,Table,45803
P416,Prestige Sofa,Home,Sofa,31952
P417,Oxford Notebook,Books,Notebook,43248
P418,Penguin Journal,Books,Journal,31894
P419,Penguin Notebook,Books,Notebook,7299
P420,HP Mobile,Electronics,Mobile,13527
P421,IKEA Sofa,Home,Sofa,38230
P422,Oxford Novel,Books,Novel,21050
P423,Penguin Textbook,Books,Textbook,22874
P424,IKEA Sofa,Home,Sofa,15367
P425,Adidas Shorts,Clothing,Shorts,46671
P426,Penguin Journal,Books,Journal,18806
P427,Oxford Journal,Books,Journal,6926
P428,McGraw Hill Dictionary,Books,Dictionary,14042
P429,Samsung Printer,Electronics,Printer,5450
P430,Adidas Shirt,Clothing,Shirt,41666
P431,Oxford Story Book,Books,Story Book,17539
P432,Puma Shorts,Clothing,Shorts,49197
P433,Prestige Table,Home,Table,48812
P434,Dell Speaker,Electronics,Speaker,46670
P435,IKEA Chair,Home,Chair,42213
P436,IKEA Mattress,Home,Mattress,25687
P437,McGraw Hill Comic,Books,Comic,37206
P438,Levi's Jeans,Clothing,Jeans,12602
P439,Puma T-shirt,Clothing,T-shirt,6337
P440,Prestige Chair,Home,Chair,19526
P441,McGraw Hill Dictionary,Books,Dictionary,2978
P442,Adidas Shirt,Clothing,Shirt,44044
P443,Levi's Shorts,Clothing,Shorts,2029
P444,Puma Shorts,Clothing,Shorts,44068
P445,Prestige Table,Home,Table,17445
P446,Oxford Comic,Books,Comic,28721
P447,Nike T-shirt,Clothing,T-shirt,1153
P448,Puma Kurta,Clothing,Kurta,21606
P449,Home Centre Chair,Home,Chair,28857
P450,McGraw Hill Novel,Books,Novel,20715
P451,Sony Mouse,Electronics,Mouse,6487
P452,Nike Saree,Clothing,Saree,5111
P453,Nike Shorts,Clothing,Shorts,47895
P454,Prestige Sofa,Home,Sofa,2737
P455,IKEA Table,Home,Table,22926
P456,Adidas T-shirt,Clothing,T-shirt,10009
P457,Penguin Novel,Books,Novel,40539
P458,Sony Headphones,Electronics,Headphones,23673
P459,Puma Jeans,Clothing,Jeans,34411
P460,Dell Laptop,Electronics,Laptop,10614
P461,McGraw Hill Novel,Books,Novel,19640
P462,Sony Speaker,Electronics,Speaker,48492
P463,Home Centre Table,Home,Table,36213
P464,Adidas Shirt,Clothing,Shirt,48925
P465,Adidas Kurta,Clothing,Kurta,44076
P466,Oxford Journal,Books,Journal,44729
P467,Prestige Pillow,Home,Pillow,4815
P468,McGraw Hill Story Book,Books,Story Book,31147
P469,Home Centre Mattress,Home,Mattress,35422
P470,Lenovo Mouse,Electronics,Mouse,48205
P471,Oxford Dictionary,Books,Dictionary,20713
P472,IKEA Fan,Home,Fan,34055
P473,McGraw Hill Notebook,Books,Notebook,4775
P474,Penguin Journal,Books,Journal,16937
P475,McGraw Hill Novel,Books,Novel,49258
P476,Adidas Kurta,Clothing,Kurta,41517
P477,Oxford Dictionary,Books,Dictionary,6322
P478,Penguin Story Book,Books,Story Book,10241
P479,Samsung Headphones,Electronics,Headphones,29359
P480,Adidas Jeans,Clothing,Jeans,17851
P481,McGraw Hill Novel,Books,Novel,22905
P482,McGraw Hill Novel,Books,Novel,46633
P483,IKEA Sofa,Home,Sofa,40553
P484,Nike Shorts,Clothing,Shorts,2350
P485,Prestige Pillow,Home,Pillow,19706
P486,IKEA Pillow,Home,Pillow,18387
P487,Oxford Journal,Books,Journal,44036
P488,Oxford Novel,Books,Novel,33251
P489,Levi's Shirt,Clothing,Shirt,45110
P490,Lenovo Webcam,Electronics,Webcam,21027
P491,Nike Saree,Clothing,Saree,44129
P492,Adidas T-shirt,Clothing,T-shirt,1262
P493,Levi's Kurta,Clothing,Kurta,3254
P494,Home Centre Table,Home,Table,176
P495,Adidas Shorts,Clothing,Shorts,16097
P496,Nike Kurta,Clothing,Kurta,16034
P497,McGraw Hill Comic,Books,Comic,43973
P498,McGraw Hill Story Book,Books,Story Book,49354
P499,Oxford Textbook,Books,Textbook,27430
P500,IKEA Mattress,Home,Mattress,49191
